date,model,ticker,pred_len,portfolio_value,top_5_portfolio,least_5_portfolio,top_5_up,top_5_down,market,data_type,portfolio_ratio,Final Portfolio Value
2025-02-05,LSTM,ALL,20,185936.4977906312,"AMZN, AMD, INTC, META, TSLA","TSLA, MSFT, AMD, INTC, NVDA","TSLA, NFLX, AAPL, AMZN, META","NVDA, MSFT, META, AAPL, AMD",NASDAQ,general,"[0.38, 0.38, 0.29, 0.21, 0.84]",1.8594
2025-02-06,LSTM,ALL,20,185936.4977906312,"META, NVDA, GOOGL, TSLA, AMD","AMD, INTC, MSFT, NFLX, AMZN","META, MSFT, NVDA, AAPL, NFLX","AAPL, AMZN, GOOGL, NFLX, TSLA",NASDAQ,general,"[0.67, 0.52, 0.42, 0.03, 0.68]",1.8594
2025-02-07,LSTM,ALL,20,185936.4977906312,"MSFT, NFLX, AMZN, GOOGL, AAPL","INTC, TSLA, AAPL, GOOGL, META","GOOGL, NFLX, AMZN, META, AMD","NFLX, TSLA, AMZN, INTC, GOOGL",NASDAQ,general,"[0.35, 0.22, 0.84, 0.81, 0.67]",1.8594
2025-02-08,LSTM,ALL,20,185936.4977906312,"AAPL, MSFT, TSLA, AMD, META","TSLA, MSFT, AAPL, GOOGL, META","TSLA, AMZN, META, AAPL, GOOGL","AMD, NVDA, TSLA, AAPL, NFLX",NASDAQ,general,"[0.89, 0.28, 0.17, 0.63, 0.48]",1.8594
2025-02-09,LSTM,ALL,20,185936.4977906312,"AMZN, AMD, NFLX, GOOGL, META","AMD, NFLX, MSFT, AMZN, META","NFLX, AMZN, GOOGL, AAPL, TSLA","GOOGL, INTC, NFLX, TSLA, NVDA",NASDAQ,general,"[0.77, 0.3, 0.63, 0.15, 0.13]",1.8594
2025-02-10,LSTM,ALL,20,185936.4977906312,"GOOGL, AMZN, AAPL, MSFT, AMD","AMD, META, GOOGL, NVDA, AAPL","AMZN, MSFT, AAPL, NVDA, AMD","AMD, TSLA, AMZN, AAPL, NVDA",NASDAQ,general,"[0.41, 0.98, 0.19, 0.86, 0.05]",1.8594
2025-02-11,LSTM,ALL,20,185936.4977906312,"AMZN, AAPL, NVDA, MSFT, META","META, NFLX, AMZN, MSFT, TSLA","NFLX, AMZN, GOOGL, AAPL, TSLA","NVDA, MSFT, AAPL, META, INTC",NASDAQ,general,"[0.67, 0.52, 0.42, 0.03, 0.68]",1.8594
2025-02-12,LSTM,ALL,20,185936.4977906312,"NVDA, MSFT, META, NFLX, AMZN","AMD, META, GOOGL, AMZN, AAPL","NFLX, INTC, META, AAPL, GOOGL","NVDA, AMD, TSLA, INTC, MSFT",NASDAQ,general,"[0.44, 0.15, 0.29, 0.03, 0.79]",1.8594
2025-02-13,LSTM,ALL,20,185936.4977906312,"AMZN, AMD, INTC, META, TSLA","GOOGL, META, TSLA, AMD, AMZN","NFLX, INTC, META, AAPL, GOOGL","INTC, META, MSFT, AMD, AAPL",NASDAQ,general,"[0.31, 0.33, 0.39, 0.56, 0.47]",1.8594
2025-02-14,LSTM,ALL,20,185936.4977906312,"GOOGL, MSFT, META, AMD, TSLA","AMD, META, INTC, TSLA, AAPL","AAPL, AMD, GOOGL, META, INTC","AMZN, NVDA, NFLX, META, AAPL",NASDAQ,general,"[0.25, 0.62, 0.59, 0.37, 0.18]",1.8594
2025-02-15,LSTM,ALL,20,185936.4977906312,"NFLX, AMZN, META, MSFT, AAPL","META, NFLX, TSLA, AAPL, MSFT","AMD, MSFT, INTC, NFLX, AAPL","NVDA, NFLX, TSLA, AAPL, MSFT",NASDAQ,general,"[0.45, 0.91, 0.92, 0.13, 0.1]",1.8594
2025-02-16,LSTM,ALL,1,141448.65485405488,"TSLA, INTC, NVDA, GOOGL, AMZN","INTC, MSFT, AMD, AAPL, META","AMD, META, AAPL, AMZN, MSFT","AMZN, NVDA, META, AMD, AAPL",NASDAQ,general,"[0.41, 0.84, 0.76, 0.11, 0.87]",1.4145
2025-02-17,LSTM,ALL,20,138904.83837248274,"INTC, META, GOOGL, TSLA, MSFT","AAPL, META, INTC, MSFT, NVDA","GOOGL, META, NFLX, MSFT, INTC","AAPL, AMD, MSFT, INTC, META",NASDAQ,general,"[0.26, 0.24, 0.98, 0.46, 0.45]",1.389
2025-02-18,LSTM,ALL,20,138904.83837248274,"TSLA, AMZN, NFLX, AMD, META","AAPL, INTC, MSFT, NVDA, TSLA","MSFT, AMD, INTC, NFLX, AMZN","META, AAPL, INTC, TSLA, GOOGL",NASDAQ,general,"[0.42, 0.42, 0.82, 0.96, 0.71]",1.389
2025-02-19,LSTM,ALL,20,138904.83837248274,"AMD, GOOGL, AAPL, AMZN, META","TSLA, AAPL, AMZN, INTC, NFLX","NFLX, GOOGL, MSFT, INTC, TSLA","AMD, INTC, NFLX, GOOGL, META",NASDAQ,general,"[0.42, 0.32, 0.86, 0.14, 0.52]",1.389
2025-02-20,LSTM,ALL,20,138904.83837248274,"AMZN, GOOGL, NFLX, TSLA, AMD","AMD, NVDA, INTC, NFLX, MSFT","NFLX, GOOGL, MSFT, INTC, TSLA","META, GOOGL, TSLA, MSFT, NFLX",NASDAQ,general,"[0.21, 0.22, 0.12, 0.33, 0.3]",1.389
2025-02-21,LSTM,ALL,20,138904.83837248274,"NFLX, AMZN, NVDA, AAPL, TSLA","TSLA, MSFT, NVDA, AMD, INTC","AMD, MSFT, INTC, NFLX, AAPL","NVDA, META, AMZN, GOOGL, TSLA",NASDAQ,general,"[0.24, 0.61, 0.04, 0.52, 0.39]",1.389
2025-02-22,LSTM,ALL,20,138904.83837248274,"AAPL, AMD, MSFT, NFLX, AMZN","AMD, AAPL, NFLX, MSFT, TSLA","NFLX, AMZN, GOOGL, AAPL, TSLA","NVDA, META, AMZN, GOOGL, TSLA",NASDAQ,general,"[0.64, 0.8, 0.51, 0.06, 0.83]",1.389
2025-02-23,LSTM,ALL,20,138904.83837248274,"META, INTC, NFLX, TSLA, AMD","META, AMZN, NVDA, AMD, INTC","MSFT, INTC, AAPL, META, TSLA","TSLA, AMD, AMZN, NVDA, MSFT",NASDAQ,general,"[0.15, 0.14, 0.49, 0.81, 0.5]",1.389
2025-02-24,LSTM,ALL,20,138904.83837248274,"NVDA, MSFT, META, NFLX, AMZN","INTC, TSLA, META, NFLX, AMD","AMD, META, AAPL, AMZN, MSFT","NVDA, META, TSLA, AAPL, GOOGL",NASDAQ,general,"[0.6, 0.36, 0.84, 0.78, 0.38]",1.389
2025-02-25,LSTM,ALL,20,138904.83837248274,"AAPL, NVDA, AMD, MSFT, GOOGL","NVDA, TSLA, INTC, NFLX, META","AAPL, AMD, NVDA, INTC, AMZN","TSLA, INTC, NVDA, GOOGL, AMD",NASDAQ,general,"[0.74, 0.4, 0.43, 0.6, 0.14]",1.389
2025-02-26,LSTM,ALL,20,138904.83837248274,"META, NVDA, TSLA, GOOGL, AMZN","AMZN, MSFT, AAPL, INTC, META","AAPL, MSFT, NFLX, META, AMZN","NFLX, AMD, NVDA, META, GOOGL",NASDAQ,general,"[0.37, 0.58, 0.57, 0.55, 0.06]",1.389
2025-02-27,LSTM,ALL,20,138904.83837248274,"GOOGL, TSLA, MSFT, INTC, NFLX","TSLA, META, INTC, AMD, GOOGL","META, AAPL, MSFT, INTC, AMZN","AMD, NVDA, TSLA, AAPL, NFLX",NASDAQ,general,"[0.51, 0.84, 0.05, 0.21, 0.43]",1.389
2025-02-28,LSTM,ALL,20,138904.83837248274,"TSLA, NVDA, GOOGL, INTC, MSFT","TSLA, MSFT, META, GOOGL, AAPL","AMZN, INTC, NFLX, TSLA, AAPL","NVDA, MSFT, AAPL, NFLX, INTC",NASDAQ,general,"[0.0, 0.26, 0.76, 0.23, 0.36]",1.389
2025-03-01,LSTM,ALL,20,138904.83837248274,"NVDA, INTC, AAPL, TSLA, META","AMZN, AAPL, MSFT, NFLX, INTC","AMD, AAPL, META, MSFT, NFLX","INTC, META, AMD, NVDA, NFLX",NASDAQ,general,"[0.86, 0.77, 0.37, 0.46, 0.29]",1.389
2025-03-02,LSTM,ALL,20,138904.83837248274,"AMD, INTC, TSLA, AMZN, AAPL","AMD, META, GOOGL, NVDA, AAPL","TSLA, NVDA, MSFT, GOOGL, AMZN","NFLX, MSFT, AAPL, AMD, TSLA",NASDAQ,general,"[0.91, 0.19, 0.31, 0.49, 0.27]",1.389
2025-03-03,LSTM,ALL,20,138904.83837248274,"NFLX, AMZN, META, MSFT, AAPL","TSLA, MSFT, NVDA, AMD, INTC","AMZN, META, INTC, AAPL, TSLA","TSLA, GOOGL, META, INTC, NVDA",NASDAQ,general,"[0.45, 0.91, 0.92, 0.13, 0.1]",1.389
2025-03-04,LSTM,ALL,20,138904.83837248274,"INTC, AMD, TSLA, GOOGL, NFLX","TSLA, NVDA, MSFT, GOOGL, NFLX","AAPL, NVDA, MSFT, META, GOOGL","MSFT, INTC, META, GOOGL, AAPL",NASDAQ,general,"[0.11, 0.44, 0.39, 0.66, 0.37]",1.389
2025-03-05,LSTM,ALL,20,138904.83837248274,"AMZN, AAPL, NFLX, TSLA, GOOGL","AMZN, NVDA, AMD, NFLX, INTC","MSFT, META, AMZN, INTC, GOOGL","TSLA, AMZN, MSFT, GOOGL, NVDA",NASDAQ,general,"[0.67, 0.44, 0.91, 0.91, 0.98]",1.389
2025-03-06,LSTM,ALL,20,138904.83837248274,"NVDA, META, AMZN, MSFT, NFLX","AMD, NVDA, INTC, TSLA, GOOGL","NFLX, INTC, META, AAPL, GOOGL","GOOGL, INTC, NFLX, TSLA, NVDA",NASDAQ,general,"[0.52, 0.12, 0.17, 0.87, 0.14]",1.389
2025-03-07,LSTM,ALL,20,138904.83837248274,"GOOGL, MSFT, META, AMD, TSLA","TSLA, MSFT, META, GOOGL, AAPL","NVDA, NFLX, INTC, AMD, META","META, GOOGL, TSLA, MSFT, NFLX",NASDAQ,general,"[0.83, 0.61, 0.48, 0.46, 0.15]",1.389
2025-03-08,LSTM,ALL,20,138904.83837248274,"MSFT, META, TSLA, INTC, AMZN","TSLA, AMZN, INTC, META, NFLX","NFLX, TSLA, INTC, AMD, NVDA","AAPL, TSLA, AMD, META, NFLX",NASDAQ,general,"[0.38, 0.38, 0.29, 0.21, 0.84]",1.389
2025-03-09,LSTM,ALL,1,172689.1094554119,"META, NFLX, AMZN, AAPL, GOOGL","AAPL, AMD, META, AMZN, NVDA","GOOGL, INTC, MSFT, META, NFLX","META, AAPL, INTC, TSLA, GOOGL",NASDAQ,general,"[0.81, 0.97, 0.17, 0.73, 0.96]",1.7269
2025-03-10,LSTM,ALL,20,103780.03093111792,"MSFT, NVDA, AAPL, META, AMZN","NVDA, TSLA, INTC, NFLX, META","AMD, NVDA, META, INTC, MSFT","INTC, AMD, TSLA, GOOGL, AMZN",NASDAQ,general,"[0.89, 0.28, 0.17, 0.63, 0.48]",1.0378
2025-03-11,LSTM,ALL,20,103780.03093111792,"GOOGL, NFLX, INTC, AAPL, TSLA","NVDA, NFLX, AAPL, GOOGL, MSFT","AAPL, AMD, GOOGL, META, INTC","NVDA, AMD, TSLA, INTC, MSFT",NASDAQ,general,"[0.91, 0.75, 0.1, 0.53, 0.9]",1.0378
2025-03-12,LSTM,ALL,20,103780.03093111792,"NFLX, INTC, META, AMZN, MSFT","AMZN, AMD, NFLX, AAPL, TSLA","AAPL, AMD, NVDA, INTC, AMZN","AAPL, AMZN, GOOGL, NFLX, TSLA",NASDAQ,general,"[0.62, 0.14, 0.63, 0.53, 0.82]",1.0378
2025-03-13,LSTM,ALL,20,103780.03093111792,"AMZN, AAPL, NFLX, TSLA, GOOGL","AMZN, NVDA, AMD, NFLX, INTC","AMD, MSFT, GOOGL, NFLX, META","MSFT, NFLX, AMZN, AAPL, TSLA",NASDAQ,general,"[0.21, 0.22, 0.12, 0.33, 0.3]",1.0378
2025-03-14,LSTM,ALL,20,103780.03093111792,"AAPL, TSLA, META, NVDA, NFLX","AAPL, INTC, MSFT, NVDA, TSLA","AMD, GOOGL, MSFT, INTC, NVDA","AMZN, AAPL, MSFT, GOOGL, NVDA",NASDAQ,general,"[0.41, 0.84, 0.76, 0.11, 0.87]",1.0378
2025-03-15,LSTM,ALL,20,103780.03093111792,"MSFT, NFLX, AMZN, GOOGL, AAPL","INTC, MSFT, AMD, AAPL, META","MSFT, AMD, INTC, NFLX, AMZN","MSFT, AMD, INTC, META, NVDA",NASDAQ,general,"[0.81, 0.09, 0.03, 0.33, 0.75]",1.0378
2025-03-16,LSTM,ALL,20,103780.03093111792,"INTC, AMD, AMZN, NFLX, NVDA","AAPL, INTC, MSFT, NVDA, TSLA","TSLA, AAPL, META, AMZN, MSFT","NFLX, TSLA, INTC, AAPL, AMD",NASDAQ,general,"[0.44, 0.48, 0.44, 0.44, 0.52]",1.0378
2025-03-17,LSTM,ALL,20,103780.03093111792,"AMZN, NFLX, GOOGL, META, AAPL","TSLA, MSFT, AAPL, GOOGL, META","TSLA, NFLX, AAPL, AMZN, META","META, GOOGL, TSLA, MSFT, NFLX",NASDAQ,general,"[0.35, 0.22, 0.96, 0.13, 0.74]",1.0378
2025-03-18,LSTM,ALL,20,103780.03093111792,"NFLX, GOOGL, AMZN, NVDA, INTC","AMD, NVDA, INTC, NFLX, MSFT","TSLA, AMZN, META, AAPL, GOOGL","MSFT, AMD, INTC, NFLX, NVDA",NASDAQ,general,"[0.27, 0.84, 0.69, 0.68, 0.36]",1.0378
2025-03-19,LSTM,ALL,20,103780.03093111792,"AAPL, AMD, MSFT, NFLX, AMZN","AMD, NVDA, AMZN, NFLX, AAPL","INTC, META, NFLX, AMD, GOOGL","INTC, META, NFLX, AMZN, TSLA",NASDAQ,general,"[0.05, 0.5, 0.91, 0.07, 0.0]",1.0378
2025-03-20,LSTM,ALL,20,103780.03093111792,"MSFT, AAPL, NVDA, NFLX, AMZN","NVDA, NFLX, INTC, MSFT, TSLA","AMD, GOOGL, MSFT, INTC, NVDA","AMZN, GOOGL, MSFT, AAPL, TSLA",NASDAQ,general,"[0.61, 0.98, 0.72, 0.75, 0.77]",1.0378
2025-03-21,LSTM,ALL,20,103780.03093111792,"MSFT, AAPL, NVDA, NFLX, AMZN","TSLA, INTC, NVDA, GOOGL, META","TSLA, META, AMZN, GOOGL, AMD","AMD, TSLA, NFLX, META, NVDA",NASDAQ,general,"[0.41, 0.98, 0.19, 0.86, 0.05]",1.0378
2025-03-22,LSTM,ALL,20,103780.03093111792,"GOOGL, NVDA, MSFT, NFLX, INTC","TSLA, META, NVDA, GOOGL, AMD","GOOGL, META, AMZN, INTC, AMD","AAPL, INTC, NVDA, AMD, AMZN",NASDAQ,general,"[0.68, 0.74, 0.7, 0.77, 0.63]",1.0378
2025-03-23,LSTM,ALL,20,103780.03093111792,"AMD, AMZN, NFLX, GOOGL, NVDA","TSLA, AMD, NVDA, META, GOOGL","MSFT, INTC, AAPL, TSLA, AMZN","AAPL, AMZN, GOOGL, NFLX, TSLA",NASDAQ,general,"[0.73, 0.05, 0.42, 0.69, 0.97]",1.0378
2025-03-24,LSTM,ALL,20,103780.03093111792,"MSFT, NFLX, AMZN, GOOGL, AAPL","META, INTC, TSLA, AMZN, NVDA","AMD, NVDA, TSLA, AMZN, INTC","AMD, TSLA, AAPL, GOOGL, MSFT",NASDAQ,general,"[0.11, 0.44, 0.39, 0.66, 0.37]",1.0378
2025-03-25,LSTM,ALL,20,103780.03093111792,"META, NVDA, GOOGL, AMZN, INTC","META, AMZN, NVDA, AMD, INTC","AAPL, GOOGL, NVDA, META, INTC","INTC, AMD, TSLA, GOOGL, AMZN",NASDAQ,general,"[0.67, 0.21, 0.63, 0.08, 0.62]",1.0378
2025-03-26,LSTM,ALL,20,103780.03093111792,"META, NVDA, GOOGL, AMZN, INTC","AAPL, TSLA, AMD, GOOGL, NVDA","TSLA, AAPL, META, AMZN, MSFT","TSLA, INTC, MSFT, AAPL, GOOGL",NASDAQ,general,"[0.35, 0.22, 0.96, 0.13, 0.74]",1.0378
2025-03-27,LSTM,ALL,20,103780.03093111792,"AMZN, NFLX, GOOGL, META, AAPL","INTC, TSLA, META, NFLX, AMD","GOOGL, AMZN, NFLX, TSLA, NVDA","AMZN, AAPL, MSFT, GOOGL, NVDA",NASDAQ,general,"[0.14, 0.29, 0.81, 0.97, 0.41]",1.0378
2025-03-28,LSTM,ALL,20,103780.03093111792,"MSFT, INTC, NFLX, NVDA, TSLA","NVDA, AAPL, AMD, INTC, AMZN","TSLA, INTC, AMZN, MSFT, NVDA","TSLA, AMD, AAPL, META, NVDA",NASDAQ,general,"[0.91, 0.92, 0.82, 0.1, 0.8]",1.0378
2025-03-29,LSTM,ALL,20,103780.03093111792,"NVDA, INTC, AAPL, TSLA, META","AMD, AAPL, NFLX, INTC, NVDA","AMD, GOOGL, MSFT, INTC, NVDA","TSLA, GOOGL, NVDA, AMZN, META",NASDAQ,general,"[0.91, 0.75, 0.1, 0.53, 0.9]",1.0378
2025-03-30,LSTM,ALL,20,150213.7277355196,"INTC, META, GOOGL, TSLA, MSFT","INTC, TSLA, META, NVDA, AMD","AMZN, INTC, MSFT, META, GOOGL","NFLX, MSFT, AMD, TSLA, AAPL",NASDAQ,general,"[0.42, 0.32, 0.86, 0.14, 0.52]",1.5021
2025-03-31,LSTM,ALL,20,150213.7277355196,"MSFT, NFLX, NVDA, INTC, AAPL","NVDA, META, MSFT, AAPL, AMZN","TSLA, NFLX, AAPL, AMZN, META","NVDA, MSFT, AMZN, NFLX, TSLA",NASDAQ,general,"[0.83, 0.8, 0.97, 0.79, 0.12]",1.5021
2025-04-01,LSTM,ALL,20,150213.7277355196,"NFLX, GOOGL, AMZN, META, AMD","TSLA, NVDA, MSFT, GOOGL, NFLX","AMZN, NFLX, GOOGL, INTC, TSLA","MSFT, INTC, META, GOOGL, AAPL",NASDAQ,general,"[0.91, 0.63, 0.93, 0.98, 0.82]",1.5021
2025-04-02,LSTM,ALL,20,150213.7277355196,"INTC, AMD, NFLX, NVDA, AMZN","AAPL, AMD, GOOGL, META, AMZN","AAPL, MSFT, NFLX, META, AMZN","AMD, NVDA, AMZN, NFLX, MSFT",NASDAQ,general,"[0.37, 0.53, 0.57, 0.44, 0.78]",1.5021
2025-04-03,LSTM,ALL,20,150213.7277355196,"AMZN, MSFT, NVDA, AAPL, GOOGL","AAPL, NVDA, GOOGL, AMD, NFLX","GOOGL, NVDA, AAPL, META, AMD","AMD, TSLA, AAPL, INTC, GOOGL",NASDAQ,general,"[0.29, 0.7, 0.84, 0.61, 0.24]",1.5021
2025-04-04,LSTM,ALL,20,150213.7277355196,"META, AMD, MSFT, NVDA, AAPL","META, NFLX, AAPL, TSLA, AMD","MSFT, AMD, AAPL, AMZN, NFLX","META, GOOGL, TSLA, MSFT, NFLX",NASDAQ,general,"[0.38, 0.38, 0.29, 0.21, 0.84]",1.5021
2025-04-05,LSTM,ALL,20,150213.7277355196,"AMZN, META, NFLX, GOOGL, AAPL","META, AMZN, AMD, TSLA, AAPL","AMD, INTC, META, NVDA, NFLX","NFLX, MSFT, AAPL, AMD, TSLA",NASDAQ,general,"[0.27, 0.21, 0.09, 0.57, 0.46]",1.5021
2025-04-06,LSTM,ALL,20,150213.7277355196,"TSLA, MSFT, AMZN, INTC, AMD","AAPL, AMD, GOOGL, META, AMZN","GOOGL, NVDA, META, AMZN, MSFT","AAPL, TSLA, AMD, META, NFLX",NASDAQ,general,"[0.41, 0.7, 0.07, 0.32, 0.0]",1.5021
2025-04-07,LSTM,ALL,20,150213.7277355196,"META, NVDA, TSLA, GOOGL, AMZN","META, NFLX, TSLA, AAPL, MSFT","AAPL, MSFT, NFLX, META, AMZN","TSLA, GOOGL, AAPL, NVDA, AMZN",NASDAQ,general,"[0.42, 0.32, 0.86, 0.14, 0.52]",1.5021
2025-04-08,LSTM,ALL,20,150213.7277355196,"INTC, META, GOOGL, TSLA, MSFT","AMZN, MSFT, AAPL, INTC, META","GOOGL, META, NFLX, MSFT, INTC","AMZN, GOOGL, MSFT, AAPL, TSLA",NASDAQ,general,"[0.42, 0.48, 0.45, 0.69, 0.15]",1.5021
2025-04-09,LSTM,ALL,20,150213.7277355196,"NFLX, GOOGL, AMZN, NVDA, INTC","TSLA, AMD, INTC, NFLX, GOOGL","TSLA, INTC, NFLX, AMZN, NVDA","NVDA, MSFT, META, AAPL, AMD",NASDAQ,general,"[0.9, 0.45, 0.77, 0.23, 0.22]",1.5021
2025-04-10,LSTM,ALL,20,150213.7277355196,"AMZN, INTC, AMD, TSLA, NFLX","AMD, AAPL, GOOGL, INTC, TSLA","NFLX, MSFT, AMD, AAPL, TSLA","NFLX, META, GOOGL, AAPL, INTC",NASDAQ,general,"[0.23, 0.78, 0.2, 0.66, 0.44]",1.5021
2025-04-11,LSTM,ALL,20,150213.7277355196,"TSLA, MSFT, AMZN, INTC, AMD","AMZN, MSFT, AAPL, INTC, META","INTC, NFLX, MSFT, AMZN, TSLA","TSLA, AMD, AAPL, META, NVDA",NASDAQ,general,"[0.62, 0.14, 0.63, 0.53, 0.82]",1.5021
2025-04-12,LSTM,ALL,20,150213.7277355196,"MSFT, NVDA, AAPL, META, AMZN","TSLA, META, NVDA, GOOGL, AMD","MSFT, META, AMZN, INTC, GOOGL","META, GOOGL, TSLA, MSFT, NFLX",NASDAQ,general,"[0.44, 0.48, 0.44, 0.44, 0.52]",1.5021
2025-04-13,LSTM,ALL,20,150213.7277355196,"GOOGL, TSLA, MSFT, INTC, NFLX","NVDA, AAPL, AMZN, MSFT, GOOGL","GOOGL, NVDA, AAPL, META, AMD","MSFT, AMD, INTC, META, NVDA",NASDAQ,general,"[0.31, 0.33, 0.39, 0.56, 0.47]",1.5021
2025-04-14,LSTM,ALL,20,150213.7277355196,"INTC, AMD, NFLX, NVDA, AMZN","TSLA, INTC, NVDA, GOOGL, META","MSFT, NVDA, AMZN, AAPL, TSLA","AMD, MSFT, GOOGL, AAPL, META",NASDAQ,general,"[0.27, 0.84, 0.69, 0.68, 0.36]",1.5021
2025-04-15,LSTM,ALL,20,150213.7277355196,"AMZN, TSLA, META, AAPL, AMD","GOOGL, NFLX, AAPL, META, NVDA","AMD, MSFT, GOOGL, NFLX, META","NFLX, META, GOOGL, AAPL, INTC",NASDAQ,general,"[0.74, 0.4, 0.43, 0.6, 0.14]",1.5021
2025-04-16,LSTM,ALL,20,150213.7277355196,"NFLX, INTC, META, AMZN, MSFT","MSFT, NFLX, NVDA, META, INTC","MSFT, TSLA, AMD, GOOGL, INTC","AMZN, GOOGL, MSFT, META, AAPL",NASDAQ,general,"[0.36, 0.55, 0.05, 0.02, 0.89]",1.5021
2025-04-17,LSTM,ALL,20,150213.7277355196,"GOOGL, NFLX, INTC, AAPL, TSLA","AMD, META, GOOGL, AMZN, AAPL","AMZN, NFLX, META, AMD, NVDA","GOOGL, AAPL, META, NFLX, AMD",NASDAQ,general,"[0.11, 0.33, 0.08, 0.94, 0.24]",1.5021
2025-04-18,LSTM,ALL,20,150213.7277355196,"NFLX, GOOGL, AMZN, NVDA, MSFT","TSLA, MSFT, META, AAPL, GOOGL","GOOGL, AMD, NFLX, TSLA, AMZN","TSLA, INTC, MSFT, AAPL, GOOGL",NASDAQ,general,"[0.64, 0.8, 0.51, 0.06, 0.83]",1.5021
2025-01-26,TCN,ALL,1,146192.34431020467,"NVDA, TSLA, NFLX, GOOGL, AMD","AMD, NVDA, INTC, TSLA, GOOGL","GOOGL, NVDA, AAPL, META, AMD","NFLX, TSLA, INTC, AAPL, AMD",NASDAQ,general,"[0.65, 0.48, 0.88, 0.84, 0.76]",1.4619
2025-01-27,TCN,ALL,1,122139.24823391302,"NFLX, AMZN, NVDA, AAPL, TSLA","TSLA, INTC, AAPL, MSFT, NVDA","MSFT, NVDA, AMD, AAPL, META","TSLA, NVDA, NFLX, AMD, AAPL",NASDAQ,general,"[0.62, 0.04, 0.47, 0.2, 0.34]",1.2214
2025-01-28,TCN,ALL,1,122139.24823391302,"AMD, GOOGL, AAPL, AMZN, META","NVDA, NFLX, INTC, MSFT, TSLA","AMD, NVDA, META, INTC, MSFT","NFLX, META, AMD, GOOGL, NVDA",NASDAQ,general,"[0.38, 0.28, 0.46, 0.13, 0.9]",1.2214
2025-01-29,TCN,ALL,1,122139.24823391302,"MSFT, INTC, NFLX, NVDA, TSLA","AAPL, INTC, MSFT, NVDA, TSLA","NVDA, META, AMD, GOOGL, INTC","AAPL, TSLA, AMD, META, NFLX",NASDAQ,general,"[0.27, 0.84, 0.69, 0.68, 0.36]",1.2214
